# pnl-and-cash.csv — P&L + cash. Monthly M1-M36 then annual Y1-Y5 per scenario. USD. Estimates.
# COGS = infra cost/run + payment fees (2.9% GMV) + payout handling (0.4% GMV).

"=== SCENARIO: CONSERVATIVE — MONTHLY (M1-M36) — opening cash = raise $9,000,000 ==="
month,calendar,revenue,cogs,infra_cost,payment_fees,payout_handling,gross_profit,gross_margin_pct,s_and_m,r_and_d,g_and_a,ebitda,cash_eom,monthly_burn
10,2027-10,60237,11892,1858,8818,1216,48345,80.3,80188,97754,51308,-180905,3373815,180905
11,2027-11,72584,14223,2222,10546,1455,58361,80.4,83861,102231,53658,-181389,3192426,181389
12,2027-12,87244,16968,2651,12581,1735,70276,80.6,87533,106708,56008,-179974,3012452,179974
13,2028-01,104600,20192,3155,14972,2065,84408,80.7,108593,124542,62615,-211342,2801109,211342
14,2028-02,125091,23968,3745,17772,2451,101123,80.8,117055,134246,67494,-217672,2583437,217672
15,2028-03,149217,28378,4434,21042,2902,120839,81.0,125517,143951,72373,-221002,2362435,221002
16,2028-04,177541,33514,5237,24850,3428,144026,81.1,133979,153655,77252,-220860,2141575,220860
17,2028-05,210699,39480,6169,29274,4038,171219,81.3,142441,163360,82131,-216712,1924863,216712
18,2028-06,249408,46389,7248,34396,4744,203019,81.4,150902,173064,87010,-207959,1716904,207959
19,2028-07,294464,54368,8495,40313,5560,240096,81.5,159364,182769,91890,-193926,1522978,193926
20,2028-08,344160,63556,9931,47125,6500,280604,81.5,167826,192473,96769,-176465,1346513,176465
21,2028-09,401218,74106,11579,54948,7579,327111,81.5,176288,202178,101648,-153003,1193510,153003
22,2028-10,466540,86186,13467,63905,8814,380354,81.5,184750,211883,106527,-122805,1070705,122805
23,2028-11,541106,99976,15621,74130,10225,441131,81.5,193212,221587,111406,-85074,985631,85074
24,2028-12,625976,115672,18074,85768,11830,510305,81.5,201673,231292,116285,-38945,946686,38945
25,2029-01,722290,133485,20857,98976,13652,588805,81.5,248616,234792,113598,-8201,938485,8201
26,2029-02,831265,153641,24006,113922,15713,677624,81.5,267989,253087,122450,34098,972583,0
27,2029-03,954199,176380,27559,130782,18039,777818,81.5,287361,271383,131302,87773,1060355,0
28,2029-04,1092461,201956,31556,149745,20655,890505,81.5,306734,289678,140154,153940,1214295,0
29,2029-05,1247491,230633,36036,171009,23587,1016858,81.5,326107,307973,149006,233772,1448067,0
30,2029-06,1420791,262691,41046,194780,26866,1158100,81.5,345479,326269,157857,328495,1776562,0
31,2029-07,1613916,298417,46628,221270,30520,1315499,81.5,364852,344564,166709,439373,2215935,0
32,2029-08,1828463,338107,52829,250699,34579,1490357,81.5,384225,362860,175561,567711,2783646,0
33,2029-09,2066060,382061,59697,283289,39074,1683999,81.5,403597,381155,184413,714834,3498480,0
34,2029-10,2328347,430582,67279,319267,44037,1897765,81.5,422970,399451,193265,882079,4380559,0
35,2029-11,2616962,483975,75621,358856,49497,2132987,81.5,442343,417746,202117,1070782,5451341,0
36,2029-12,2933518,542536,84771,402278,55487,2390982,81.5,461715,436042,210968,1282257,6733598,0

=== SCENARIO: BASE — ANNUAL (Y1-Y5) ===
year,calendar,revenue,cogs,gross_profit,gross_margin_pct,s_and_m,r_and_d,g_and_a,total_opex,ebitda,ebitda_margin_pct,headcount
Y1,2027,402052,79601,322452,80.2,808000,985000,517000,2310000,-1987548,-494.4,10
Y2,2028,3690020,685786,3004235,81.4,1861600,2135000,1073400,5070000,-2065765,-56.0,22
Y3,2029,19655763,3634465,16021298,81.5,4261986,4025000,1947400,10234386,5786912,29.4,42
Y4,2030,42707463,7268930,35438533,83.0,7784773,6625000,3179000,17588773,17849760,41.8,70
Y5,2031,68847619,11775666,57071953,82.9,12167812,9862500,4618500,26648812,30423141,44.2,105

"BASE CASH SUMMARY: implied raise (calc, 36mo trough + 6mo buffer)",5036279
BASE clean raise modeled,5000000
BASE 36mo cumulative cash needed (pre-raise trough),4061515
BASE min cash within 36mo (with raise),938485
BASE avg monthly burn (burning months),162461

"=== SCENARIO: AGGRESSIVE — MONTHLY (M1-M36) — opening cash = raise $6,500,000 ==="
month,calendar,revenue,cogs,infra_cost,payment_fees,payout_handling,gross_profit,gross_margin_pct,s_and_m,r_and_d,g_and_a,ebitda,cash_eom,monthly_burn
1,2027-01,234,0,0,0,0,234,100.0,62090,71896,35356,-169108,6330892,169108
2,2027-02,261,0,0,0,0,261,100.0,66928,77498,38111,-182276,6148616,182276
3,2027-03,291,0,0,0,0,291,100.0,71766,83100,40866,-195442,5953174,195442
4,2027-04,18179,3243,484,2424,334,14936,82.2,76605,88703,43621,-193992,5759182,193992
5,2027-05,35676,6372,951,4764,657,29303,82.1,81443,94305,46376,-192820,5566362,192820
6,2027-06,52792,9392,1402,7022,968,43400,82.2,86281,99907,49131,-191919,5374443,191919
7,2027-07,63722,11270,1682,8426,1162,52452,82.3,91119,105509,51886,-196062,5178381,196062
8,2027-08,76694,13485,2013,10082,1391,63209,82.4,95957,111112,54641,-198501,4979880,198501
9,2027-09,92037,16087,2401,12027,1659,75950,82.5,100795,116714,57396,-198955,4780925,198955
10,2027-10,110127,19136,2856,14307,1973,90991,82.6,105634,122316,60151,-197109,4583815,197109
11,2027-11,131386,22695,3387,16968,2340,108691,82.7,110472,127919,62906,-192606,4391210,192606
12,2027-12,156286,26837,4006,20064,2767,129448,82.8,115310,133521,65661,-185043,4206166,185043
13,2028-01,185353,31641,4723,23656,3263,153712,82.9,144445,158229,74742,-223705,3982462,223705
14,2028-02,219173,37194,5551,27807,3835,181979,83.0,155700,170559,80567,-224847,3757615,224847
15,2028-03,258389,43591,6506,32590,4495,214797,83.1,166956,182888,86391,-221437,3536178,221437
16,2028-04,303708,50937,7602,38081,5253,252772,83.2,178211,195218,92215,-212872,3323305,212872
17,2028-05,355902,59341,8857,44365,6119,296561,83.3,189467,207547,98039,-198492,3124813,198492
18,2028-06,415806,68925,10287,51530,7108,346881,83.4,200722,219877,103863,-177581,2947232,177581
19,2028-07,484320,79815,11913,59672,8231,404505,83.5,211978,232206,109687,-149366,2797866,149366
20,2028-08,559082,92146,13753,68891,9502,466936,83.5,223233,244536,115511,-116345,2681522,116345
21,2028-09,643436,106060,15830,79293,10937,537376,83.5,234489,256866,121335,-75313,2606208,75313
22,2028-10,738276,121704,18165,90989,12550,616572,83.5,245744,269195,127159,-25526,2580682,25526
23,2028-11,844521,139230,20781,104092,14357,705292,83.5,257000,281525,132983,33784,2614466,0
24,2028-12,963111,158791,23700,118716,16375,804320,83.5,268255,293854,138808,103403,2717869,0
25,2029-01,1094994,180546,26947,134981,18618,914449,83.5,367726,302167,137853,106703,2824572,0
26,2029-02,1241117,204649,30545,153001,21104,1036468,83.5,396380,325712,148595,165782,2990353,0
27,2029-03,1402409,231253,34515,172891,23847,1171156,83.5,425034,349258,159337,237528,3227881,0
28,2029-04,1579768,260506,38882,194761,26864,1319262,83.5,453688,372803,170079,322692,3550573,0
29,2029-05,1774044,292549,43664,218717,30168,1481495,83.5,482342,396348,180821,421985,3972558,0
30,2029-06,1986020,327508,48882,244854,33773,1658512,83.5,510996,419894,191562,536060,4508618,0
31,2029-07,2216393,365499,54552,273257,37691,1850894,83.5,539649,443439,202304,665501,5174119,0
32,2029-08,2465753,406618,60689,303998,41931,2059135,83.5,568303,466985,213046,810800,5984920,0
33,2029-09,2734561,450939,67304,337134,46501,2283621,83.5,596957,490530,223788,972346,6957265,0
34,2029-10,3023129,498513,74405,372701,51407,2524616,83.5,625611,514076,234530,1150399,8107665,0
35,2029-11,3331599,549362,81994,410717,56651,2782237,83.5,654265,537621,245272,1345079,9452744,0
36,2029-12,3659918,603474,90071,451173,62231,3056444,83.5,682919,561167,256013,1556345,11009088,0

=== SCENARIO: AGGRESSIVE — ANNUAL (Y1-Y5) ===
year,calendar,revenue,cogs,gross_profit,gross_margin_pct,s_and_m,r_and_d,g_and_a,total_opex,ebitda,ebitda_margin_pct,headcount
Y1,2027,737684,128518,609166,82.6,1064400,1232500,606100,2903000,-2293834,-311.0,13
Y2,2028,5971078,989376,4981703,83.4,2476200,2712500,1281300,6470000,-1488297,-24.9,29
Y3,2029,26509706,4371417,22138289,83.5,6303870,5180000,2363200,13847070,8291219,31.3,56
Y4,2030,65706622,10054258,55652364,84.7,12661461,8605000,3891800,25158261,30494103,46.4,94
Y5,2031,134004803,20611230,113393573,84.6,23226234,12832500,5687700,41746434,71647139,53.5,141

"AGGRESSIVE CASH SUMMARY: implied raise (calc, 36mo trough + 6mo buffer)",4988223
AGGRESSIVE clean raise modeled,6500000
AGGRESSIVE 36mo cumulative cash needed (pre-raise trough),3919318
AGGRESSIVE min cash within 36mo (with raise),2580682
AGGRESSIVE avg monthly burn (burning months),178151
