# revenue-buildup.csv — bottoms-up: supply -> agents -> buyers -> runs -> GMV -> revenue
# Monthly Months 1-36 (Jan2027=M1). Then ANNUAL Y1-Y5 per scenario. All USD. Estimates.

=== SCENARIO: CONSERVATIVE — MONTHLY (M1-M36) ===
month,calendar,year,cum_builders,active_builders,published_agents,active_buyers,runs_per_mo,gmv,eff_take_rate_pct,take_rate_rev,infra_margin_rev,subscription_rev,total_rev
15,2028-03,2,190,114,251,2015,201549,725575,15.4,111448,29023,8745,149217
16,2028-04,2,209,125,276,2380,238029,856904,15.5,132992,34276,10273,177541
17,2028-05,2,230,138,303,2804,280398,1009433,15.7,158279,40377,12043,210699
18,2028-06,2,253,152,334,3295,329468,1186084,15.8,187876,47443,14089,249408
19,2028-07,2,278,167,367,3861,386136,1390091,16.0,222414,55604,16446,294464
20,2028-08,2,306,183,404,4514,451393,1625016,16.0,260003,65001,19157,344160
21,2028-09,2,336,202,444,5263,526325,1894768,16.0,303163,75791,22264,401218
22,2028-10,2,370,222,488,6121,612115,2203616,16.0,352579,88145,25817,466540
23,2028-11,2,407,244,537,7101,710054,2556194,16.0,408991,102248,29867,541106
24,2028-12,2,448,269,591,8215,821532,2957517,16.0,473203,118301,34473,625976
25,2029-01,3,492,295,650,9480,948048,3412974,16.0,546076,136519,39695,722290
26,2029-02,3,542,325,715,10912,1091204,3928333,16.0,628533,157133,45598,831265
27,2029-03,3,596,358,787,12527,1252702,4509727,16.0,721556,180389,52253,954199
28,2029-04,3,655,393,865,14343,1434344,5163637,16.0,826182,206545,59734,1092461
29,2029-05,3,721,433,952,16380,1638020,5896874,16.0,943500,235875,68117,1247491
30,2029-06,3,793,476,1047,18657,1865705,6716539,16.0,1074646,268662,77484,1420791
31,2029-07,3,872,523,1152,21194,2119441,7629988,16.0,1220798,305200,87919,1613916
32,2029-08,3,960,576,1267,24013,2401327,8644777,16.0,1383164,345791,99508,1828463
33,2029-09,3,1056,633,1394,27135,2713499,9768598,16.0,1562976,390744,112340,2066060
34,2029-10,3,1161,697,1533,30581,3058114,11009210,16.0,1761474,440368,126505,2328347
35,2029-11,3,1277,766,1686,34373,3437320,12374352,16.0,1979896,494974,142091,2616962
36,2029-12,3,1405,843,1855,38532,3853236,13871648,16.0,2219464,554866,159188,2933518

=== SCENARIO: BASE — ANNUAL (Y1-Y5) ===
year,calendar,active_builders_end,published_agents_end,active_buyers_end,runs,gmv,take_rate_rev,infra_margin_rev,subscription_rev,total_rev
Y1,2027,86,188,1205,565346,2035244,294179,81410,26463,402052
Y2,2028,269,591,8215,4870636,17534289,2781743,701372,206906,3690020
Y3,2029,843,1855,38532,25812960,92926657,14868265,3717066,1070432,19655763
Y4,2030,1265,2782,61652,51625920,185853314,33453596,7434133,1819734,42707463
Y5,2031,1657,3645,84586,83633991,301082368,54194826,12043295,2609498,68847619

=== SCENARIO: AGGRESSIVE — MONTHLY (M1-M36) ===
month,calendar,year,cum_builders,active_builders,published_agents,active_buyers,runs_per_mo,gmv,eff_take_rate_pct,take_rate_rev,infra_margin_rev,subscription_rev,total_rev
1,2027-01,1,60,39,101,0,0,0,15.5,0,0,234,234
2,2027-02,1,67,43,113,0,0,0,15.6,0,0,261,261
3,2027-03,1,75,48,126,0,0,0,15.8,0,0,291,291
4,2027-04,1,83,54,141,200,22000,83600,15.9,13292,3762,1124,18179
5,2027-05,1,93,60,157,393,43230,164274,16.0,26350,7392,1934,35676
6,2027-06,1,103,67,175,579,63717,242124,16.2,39176,10896,2720,52792
7,2027-07,1,115,75,195,695,76460,290549,16.3,47418,13075,3230,63722
8,2027-08,1,129,84,217,832,91485,347642,16.5,57222,15644,3828,76694
9,2027-09,1,143,93,242,992,109141,414737,16.6,68846,18663,4528,92037
10,2027-10,1,160,104,270,1180,129824,493330,16.7,82583,22200,5344,110127
11,2027-11,1,178,116,301,1400,153971,585089,16.9,98763,26329,6294,131386
12,2027-12,1,199,129,336,1655,182071,691868,17.0,117756,31134,7396,156286
13,2028-01,2,222,144,374,1951,214661,815712,17.2,139976,36707,8670,185353
14,2028-02,2,247,161,417,2294,252334,958870,17.3,165884,43149,10139,219173
15,2028-03,2,275,179,465,2689,295736,1123796,17.4,195990,50571,11828,258389
16,2028-04,2,307,200,519,3142,345567,1313155,17.6,230853,59092,13764,303708
17,2028-05,2,342,223,579,3660,402586,1529826,17.7,271085,68842,15975,355902
18,2028-06,2,382,248,645,4251,467603,1776893,17.9,317353,79960,18493,415806
19,2028-07,2,426,277,719,4923,541485,2057642,18.0,370375,92594,21351,484320
20,2028-08,2,475,309,802,5683,625144,2375547,18.0,427598,106900,24584,559082
21,2028-09,2,529,344,894,6541,719541,2734255,18.0,492166,123041,28229,643436
22,2028-10,2,590,384,997,7506,825673,3137557,18.0,564760,141190,32326,738276
23,2028-11,2,658,428,1112,8587,944570,3589366,18.0,646086,161521,36914,844521
24,2028-12,2,734,477,1240,9793,1077282,4093671,18.0,736861,184215,42035,963111
25,2029-01,3,818,532,1382,11135,1224870,4654504,18.0,837811,209453,47731,1094994
26,2029-02,3,912,593,1541,12622,1388390,5275881,18.0,949659,237415,54044,1241117
27,2029-03,3,1017,661,1719,14263,1568880,5961745,18.0,1073114,268279,61016,1402409
28,2029-04,3,1134,737,1916,16067,1767344,6715906,18.0,1208863,302216,68689,1579768
29,2029-05,3,1264,822,2137,18043,1984727,7541963,18.0,1357553,339388,77103,1774044
30,2029-06,3,1410,916,2382,20199,2221902,8443227,18.0,1519781,379945,86294,1986020
31,2029-07,3,1572,1022,2656,22542,2479642,9422641,18.0,1696075,424019,96299,2216393
32,2029-08,3,1753,1139,2962,25078,2758602,10482689,18.0,1886884,471721,107148,2465753
33,2029-09,3,1954,1270,3302,27812,3059290,11625302,18.0,2092554,523139,118868,2734561
34,2029-10,3,2179,1416,3682,30746,3382045,12851771,18.0,2313319,578330,131481,3023129
35,2029-11,3,2429,1579,4106,33882,3727014,14162652,18.0,2549277,637319,145002,3331599
36,2029-12,3,2709,1761,4578,37219,4094124,15557673,18.0,2800381,700095,159441,3659918

=== SCENARIO: AGGRESSIVE — ANNUAL (Y1-Y5) ===
year,calendar,active_builders_end,published_agents_end,active_buyers_end,runs,gmv,take_rate_rev,infra_margin_rev,subscription_rev,total_rev
Y1,2027,129,336,1655,871898,3313214,551406,149095,37184,737684
Y2,2028,477,1240,9793,6712181,25506289,4558988,1147783,264307,5971078
Y3,2029,1761,4578,37219,29656830,112695954,20285272,5071318,1153116,26509706
Y4,2030,2905,7553,66250,68210709,259200693,51840139,11664031,2202452,65706622
Y5,2031,4430,11519,107988,139831953,531361421,106272284,23911264,3821255,134004803
